Start End Chromosome RecombinationRate cM midpoint
15800001 15900001 3L 0.7615 43 15850001
15900001 16000001 3L 2.4921 43.2 15950001
16000001 16100001 3L 1.1768 43 16050001
16100001 16200001 3L 2.3537 82.54166667 16150001
16200001 16300001 3L 0.5538 62.96666667 16250001
16300001 16400001 3L 1.523 44 16350001
16400001 16500001 3L 3.3228 45 16450001
16500001 16600001 3L 2.146 44.1 16550001
16600001 16700001 3L 0.8999 44 16650001
16700001 16800001 3L 1.1768 44 16750001
16800001 16900001 3L 1.4537 65.77777778 16850001
16900001 17000001 3L 0.7615 44 16950001
17000001 17100001 3L 1.4537 85.56666667 17050001
17100001 17200001 3L 3.5997 67.98 17150001
17200001 17300001 3L 3.3228 65.53333333 17250001
17300001 17400001 3L 1.8691 64.33333333 17350001
17400001 17500001 3L 1.5922 45 17450001
17500001 17600001 3L 2.146 45 17550001
17600001 17700001 3L 1.3153 57.9 17650001
17700001 17800001 3L 0.2769 45 17750001
17800001 17900001 3L 0.1385 45 17850001
17900001 18000001 3L 1.3153 92.5 17950001
18000001 18100001 3L 0.6923 45 18050001
18100001 18200001 3L 1.7999 88.66666667 18150001
18200001 18300001 3L 0.8307 45 18250001
18300001 18400001 3L 0.0692 59.27 18350001
18400001 18500001 3L 0.1385 45 18450001
18500001 18600001 3L 1.3153 57 18550001
18600001 18700001 3L 0.4846 45 18650001
18700001 18800001 3L 0.6923 47 18750001
18800001 18900001 3L 1.0384 93.05 18850001
18900001 19000001 3L 2.146 93.9 18950001
19000001 19100001 3L 0.8999 79.72 19050001
19100001 19200001 3L 0.8307 47 19150001
19200001 19300001 3L 0.6923 93.825 19250001
19300001 19400001 3L 0.4846 93 19350001
19400001 19500001 3L 2.769 45.8 19450001
19500001 19600001 3L 0.4154 46 19550001
19600001 19700001 3L 2.3537 72.23333333 19650001
19700001 19800001 3L 0.4154 94.4 19750001
19800001 19900001 3L 0.4154 46 19850001
19900001 20000001 3L 2.9767 94.775 19950001
20000001 20100001 3L 0.2077 70 20050001
20100001 20200001 3L 0.1385 46 20150001
20200001 20300001 3L 0 46.4 20250001
20300001 20400001 3L 1.3845 70.44444444 20350001
20400001 20500001 3L 0.1385 46 20450001
20500001 20600001 3L 0.4154 46 20550001
20600001 20700001 3L 0.3461 46 20650001
20700001 20800001 3L 0 47 20750001
20800001 20900001 3L 0.2077 61.75 20850001
20900001 21000001 3L 0.1385 81.125 20950001
21000001 21100001 3L 0.2769 47 21050001
21100001 21200001 3L 0.0692 47.35 21150001
21200001 21300001 3L 0.0692 59.78333333 21250001
21300001 21400001 3L 0.1385 80 21350001
21400001 21500001 3L 0.0692 88.125 21450001
21500001 21600001 3L 0 89.625 21550001
21600001 21700001 3L 0.3461 82.33333333 21650001
21700001 21800001 3L 1.1768 89.45 21750001
21800001 21900001 3L 0 47 21850001
21900001 22000001 3L 0.1385 47 21950001
22000001 22100001 3L 0 72.42857143 22050001
22100001 22200001 3L 0 47 22150001
22200001 22300001 3L 0 91 22250001
22300001 22400001 3L 0.1385 91 22350001
22400001 22500001 3L 0.0692 91 22450001
22500001 22600001 3L 0 91 22550001
22600001 22700001 3L 0 47 22650001
22700001 22800001 3L 0 91.34166667 22750001
22800001 22900001 3L 0.0692 47 22850001
22900001 23000001 3L 0.2769 77.11111111 22950001
23000001 23100001 3L 0 93.46296296 23050001
23100001 23200001 3L 0.0692 94.75925926 23150001
23200001 23300001 3L 0 96.05555556 23250001
23300001 23400001 3L 0 97.35185185 23350001
23400001 23500001 3L 0 98 23450001
23500001 23600001 3L 0.0692 98 23550001
23600001 23700001 3L 0 98 23650001
23700001 23800001 3L 0.0692 97.625 23750001
23800001 23900001 3L 0.1385 96.875 23850001
23900001 24000001 3L 0 96.125 23950001
24000001 24100001 3L 0.0692 95.375 24050001
24100001 24200001 3L 0 95.25 24150001
24200001 24300001 3L 0 95.75 24250001
24300001 24400001 3L 0 96.25 24350001
24400001 24543557 3L 0 98.16666667 24471779
1 100001 3R 0 47.15 50001
100001 200001 3R 0 0 150001
200001 300001 3R 0 47.1 250001
300001 400001 3R 0 0 350001
400001 500001 3R 0 0.0125 450001
500001 600001 3R 0 0.22 550001
600001 700001 3R 0 47.1 650001
700001 800001 3R 0.1088 47.1 750001
800001 900001 3R 0 0.4875 850001
900001 1000001 3R 0 47.1 950001
1000001 1100001 3R 0 0.742857143 1050001
1100001 1200001 3R 0 13.8 1150001
1200001 1300001 3R 0 0.2 1250001
1300001 1400001 3R 0 47.4 1350001
1400001 1500001 3R 0 0.3 1450001
1500001 1600001 3R 0 47.2 1550001
1600001 1700001 3R 0 8.2 1650001
1700001 1800001 3R 0.1088 47.2 1750001
1800001 1900001 3R 0 47.3 1850001
1900001 2000001 3R 0.1088 1.092857143 1950001
2000001 2100001 3R 0 0.937142857 2050001
2100001 2200001 3R 0.2176 0.973333333 2150001
2200001 2300001 3R 0 2.988888889 2250001
2300001 2400001 3R 0 1.9 2350001
2400001 2500001 3R 0.3264 47.3 2450001
2500001 2600001 3R 0 47.625 2550001
2600001 2700001 3R 0 47.5 2650001
2700001 2800001 3R 0.3264 47.5 2750001
2800001 2900001 3R 0.2176 3 2850001
2900001 3000001 3R 0.1088 47.5 2950001
3000001 3100001 3R 0 47.75 3050001
3100001 3200001 3R 0 47.76 3150001
3200001 3300001 3R 0.3264 7.333333333 3250001
3300001 3400001 3R 0.6529 48 3350001
3400001 3500001 3R 0.2176 7 3450001
3500001 3600001 3R 0.1088 7.333333333 3550001
3600001 3700001 3R 1.0881 8.8 3650001
3700001 3800001 3R 0.7617 47.96666667 3750001
3800001 3900001 3R 1.9587 19.425 3850001
3900001 4000001 3R 0.1088 48 3950001
4000001 4100001 3R 0.7617 48 4050001
4100001 4200001 3R 0.9793 48 4150001
4200001 4300001 3R 1.8498 16 4250001
4300001 4400001 3R 2.7204 10.28571429 4350001
4400001 4500001 3R 0.5441 48 4450001
4500001 4600001 3R 0 48 4550001
4600001 4700001 3R 0.3264 59 4650001
4700001 4800001 3R 1.0881 48.4 4750001
4800001 4900001 3R 2.1763 48.33333333 4850001
4900001 5000001 3R 0.3264 29 4950001
5000001 5100001 3R 1.3058 49 5050001
5100001 5200001 3R 0.9793 49 5150001
5200001 5300001 3R 0.2176 48.25 5250001
5300001 5400001 3R 0 49 5350001
5400001 5500001 3R 0.7617 48.5 5450001
5500001 5600001 3R 0.4353 48.66666667 5550001
5600001 5700001 3R 0.8705 19.61111111 5650001
5700001 5800001 3R 1.3058 15.1 5750001
5800001 5900001 3R 1.4146 17.5 5850001
5900001 6000001 3R 0.3264 49.5 5950001
6000001 6100001 3R 0.2176 16.75 6050001
6100001 6200001 3R 0.1088 18.725 6150001
6200001 6300001 3R 0.5441 20.66666667 6250001
6300001 6400001 3R 0.5441 48 6350001
6400001 6500001 3R 1.197 42.45 6450001
6500001 6600001 3R 0.9793 50 6550001
6600001 6700001 3R 0.9793 49.2 6650001
6700001 6800001 3R 1.0881 20.4 6750001
6800001 6900001 3R 0.9793 20.65 6850001
6900001 7000001 3R 3.8085 21.96 6950001
7000001 7100001 3R 0.8705 24.53333333 7050001
7100001 7200001 3R 2.8292 51 7150001
7200001 7300001 3R 1.8498 22.66666667 7250001
7300001 7400001 3R 2.7204 32.875 7350001
7400001 7500001 3R 1.197 51 7450001
7500001 7600001 3R 1.3058 43.5 7550001
7600001 7700001 3R 1.0881 21.78333333 7650001
7700001 7800001 3R 0.7617 53 7750001
7800001 7900001 3R 0.6529 23.15 7850001
7900001 8000001 3R 1.741 62.42857143 7950001
8000001 8100001 3R 1.3058 51 8050001
8100001 8200001 3R 1.741 51 8150001
8200001 8300001 3R 0.6529 51 8250001
8300001 8400001 3R 0.3264 51.7 8350001
8400001 8500001 3R 2.5027 50.85 8450001
8500001 8600001 3R 1.6322 36.9375 8550001
8600001 8700001 3R 0.4353 26.7 8650001
8700001 8800001 3R 1.3058 52.05 8750001
8800001 8900001 3R 1.6322 52.2 8850001
8900001 9000001 3R 3.0468 52.5 8950001
9000001 9100001 3R 0.8705 53 9050001
9100001 9200001 3R 0.3264 51.87142857 9150001
9200001 9300001 3R 0.7617 30.16666667 9250001
9300001 9400001 3R 0.8705 54 9350001
9400001 9500001 3R 0.5441 52 9450001
9500001 9600001 3R 0.8705 54 9550001
9600001 9700001 3R 1.8498 54 9650001
9700001 9800001 3R 3.0468 29 9750001
9800001 9900001 3R 7.5082 54 9850001
9900001 10000001 3R 3.2644 43.54375 9950001
10000001 10100001 3R 1.9587 54.45 10050001
10100001 10200001 3R 1.6322 36.59333333 10150001
10200001 10300001 3R 8.0522 45 10250001
10300001 10400001 3R 1.9587 54 10350001
10400001 10500001 3R 1.6322 55 10450001
10500001 10600001 3R 3.2644 33.4 10550001
10600001 10700001 3R 0.8705 55 10650001
10700001 10800001 3R 1.9587 47 10750001
10800001 10900001 3R 3.9173 47.93333333 10850001
10900001 11000001 3R 4.0261 33.48 10950001
11000001 11100001 3R 1.8498 56.1 11050001
11100001 11200001 3R 2.7204 57.1 11150001
11200001 11300001 3R 5.4407 48 11250001
11300001 11400001 3R 2.6115 37.8875 11350001
11400001 11500001 3R 0.7617 35.5 11450001
11500001 11600001 3R 3.6997 36.53333333 11550001
11600001 11700001 3R 2.8292 42.02222222 11650001
11700001 11800001 3R 1.741 58 11750001
11800001 11900001 3R 0.7617 58.1 11850001
11900001 12000001 3R 1.9587 77.58 11950001
12000001 12100001 3R 1.3058 37.5 12050001
12100001 12200001 3R 0.7617 58.5 12150001
12200001 12300001 3R 1.741 59 12250001
12300001 12400001 3R 1.8498 59 12350001
12400001 12500001 3R 0.6529 58.8 12450001
12500001 12600001 3R 1.4146 58.8 12550001
12600001 12700001 3R 0.7617 58.8 12650001
12700001 12800001 3R 0.4353 59 12750001
12800001 12900001 3R 0.7617 83.6 12850001
12900001 13000001 3R 1.4146 55.26666667 12950001
13000001 13100001 3R 1.741 40.05 13050001
13100001 13200001 3R 0.5441 83.3 13150001
13200001 13300001 3R 1.741 60 13250001
13300001 13400001 3R 1.5234 61 13350001
13400001 13500001 3R 1.6322 45.3 13450001
13500001 13600001 3R 3.2644 43.56 13550001
13600001 13700001 3R 0.5441 46.45 13650001
13700001 13800001 3R 1.9587 62 13750001
13800001 13900001 3R 4.3526 62 13850001
13900001 14000001 3R 2.0675 62 13950001
14000001 14100001 3R 8.3787 62 14050001
14100001 14200001 3R 3.8085 63.55 14150001
14200001 14300001 3R 1.5234 44 14250001
14300001 14400001 3R 4.679 68.55 14350001
14400001 14500001 3R 2.938 64.6 14450001
14500001 14600001 3R 1.4146 47.025 14550001
14600001 14700001 3R 4.1349 65 14650001
14700001 14800001 3R 8.9228 52.5 14750001
14800001 14900001 3R 3.8085 44.94444444 14850001
14900001 15000001 3R 2.938 66.2 14950001
15000001 15100001 3R 7.1817 66.2 15050001
15100001 15200001 3R 14.7987 63.81111111 15150001
15200001 15300001 3R 4.4614 51 15250001
15300001 15400001 3R 2.6115 51 15350001
15400001 15500001 3R 5.3319 45 15450001
15500001 15600001 3R 1.4146 46.41666667 15550001
15600001 15700001 3R 4.3526 67.05 15650001
15700001 15800001 3R 1.5234 51.03333333 15750001
15800001 15900001 3R 5.876 67 15850001
15900001 16000001 3R 4.1349 48.15 15950001
16000001 16100001 3R 5.2231 48.25 16050001
16100001 16200001 3R 13.0577 68.08333333 16150001
16200001 16300001 3R 1.197 68.45 16250001
16300001 16400001 3R 2.1763 69.5 16350001
16400001 16500001 3R 0.6529 68 16450001
16500001 16600001 3R 1.5234 46.73333333 16550001
16600001 16700001 3R 1.3058 44 16650001
16700001 16800001 3R 2.6115 48.35555556 16750001
16800001 16900001 3R 1.0881 70.13333333 16850001
16900001 17000001 3R 3.1556 70.7 16950001
17000001 17100001 3R 3.5909 71.13333333 17050001
17100001 17200001 3R 0.4353 71.74 17150001
17200001 17300001 3R 0.1088 72 17250001
17300001 17400001 3R 2.8292 70 17350001
17400001 17500001 3R 0.9793 73 17450001
17500001 17600001 3R 2.8292 73 17550001
17600001 17700001 3R 5.6583 57.9 17650001
17700001 17800001 3R 3.4821 45 17750001
17800001 17900001 3R 3.0468 51.4 17850001
17900001 18000001 3R 4.0261 83 17950001
18000001 18100001 3R 3.8085 51.85 18050001
18100001 18200001 3R 2.1763 73.83333333 18150001
18200001 18300001 3R 1.9587 76 18250001
18300001 18400001 3R 3.4821 59.36 18350001
18400001 18500001 3R 2.5027 52 18450001
18500001 18600001 3R 4.8966 58.5 18550001
18600001 18700001 3R 4.7878 78.1 18650001
18700001 18800001 3R 1.9587 49.3 18750001
18800001 18900001 3R 2.938 80.1 18850001
18900001 19000001 3R 3.1556 81.2 18950001
19000001 19100001 3R 3.2644 79.35 19050001
19100001 19200001 3R 3.8085 49.33333333 19150001
19200001 19300001 3R 6.3112 80.55 19250001
19300001 19400001 3R 1.6322 79.33333333 19350001
19400001 19500001 3R 5.3319 81 19450001
19500001 19600001 3R 2.938 48.66666667 19550001
19600001 19700001 3R 2.0675 81.35 19650001
19700001 19800001 3R 2.6115 81 19750001
19800001 19900001 3R 1.4146 81 19850001
19900001 20000001 3R 1.8498 82 19950001
20000001 20100001 3R 1.0881 67 20050001
20100001 20200001 3R 1.4146 83 20150001
20200001 20300001 3R 2.7204 83.33333333 20250001
20300001 20400001 3R 5.876 67.22222222 20350001
20400001 20500001 3R 2.6115 85.33333333 20450001
20500001 20600001 3R 3.6997 46 20550001
20600001 20700001 3R 3.0468 46.2 20650001
20700001 20800001 3R 2.938 49.33333333 20750001
20800001 20900001 3R 2.0675 65.625 20850001
20900001 21000001 3R 3.0468 85 20950001
21000001 21100001 3R 2.3939 87 21050001
21100001 21200001 3R 1.197 50.45833333 21150001
21200001 21300001 3R 1.6322 62.89166667 21250001
21300001 21400001 3R 2.6115 87 21350001
21400001 21500001 3R 2.8292 88.5 21450001
21500001 21600001 3R 0.4353 90 21550001
21600001 21700001 3R 2.1763 90.5 21650001
21700001 21800001 3R 2.3939 89.1 21750001
21800001 21900001 3R 2.7204 47 21850001
21900001 22000001 3R 0.7617 91.5 21950001
22000001 22100001 3R 1.197 66.07142857 22050001
22100001 22200001 3R 2.5027 91 22150001
22200001 22300001 3R 0.9793 91 22250001
22300001 22400001 3R 0.8705 91 22350001
22400001 22500001 3R 1.6322 91 22450001
22500001 22600001 3R 3.6997 91 22550001
22600001 22700001 3R 3.5909 91.025 22650001
22700001 22800001 3R 3.3732 91.5 22750001
22800001 22900001 3R 0.3264 62.05555556 22850001
22900001 23000001 3R 2.8292 92.16666667 22950001
23000001 23100001 3R 4.2438 94.11111111 23050001
23100001 23200001 3R 1.8498 95.40740741 23150001
23200001 23300001 3R 5.2231 96.7037037 23250001
23300001 23400001 3R 2.5027 98 23350001
23400001 23500001 3R 1.5234 98 23450001
23500001 23600001 3R 3.5909 98 23550001
23600001 23700001 3R 4.3526 98 23650001
23700001 23800001 3R 4.8966 97.25 23750001
23800001 23900001 3R 1.4146 96.5 23850001
23900001 24000001 3R 6.3112 95.75 23950001
24000001 24100001 3R 0.9793 95 24050001
24100001 24200001 3R 1.6322 95.5 24150001
24200001 24300001 3R 1.741 96 24250001
24300001 24400001 3R 0.7617 96.5 24350001
24400001 24500001 3R 0.8705 97.33333333 24450001
24500001 24600001 3R 3.1556 99 24550001
24600001 24700001 3R 1.741 99 24650001
24700001 24800001 3R 2.1763 99 24750001
24800001 24900001 3R 1.197 99 24850001
24900001 25000001 3R 1.6322 100 24950001
25000001 25100001 3R 0.8705 100 25050001
25100001 25200001 3R 7.5082 100 25150001
25200001 25300001 3R 2.938 100 25250001
25300001 25400001 3R 5.1143 100.2333333 25350001
25400001 25500001 3R 1.741 100.4666667 25450001
25500001 25600001 3R 1.6322 100.7 25550001
25600001 25700001 3R 2.3939 101 25650001
25700001 25800001 3R 2.3939 101 25750001
25800001 25900001 3R 2.0675 101.15 25850001
25900001 26000001 3R 1.3058 101 25950001
26000001 26100001 3R 2.8292 101.2 26050001
26100001 26200001 3R 3.6997 101.4 26150001
26200001 26300001 3R 1.3058 101.6 26250001
26300001 26400001 3R 0.6529 101.8 26350001
26400001 26500001 3R 1.0881 102 26450001
26500001 26600001 3R 1.4146 102 26550001
26600001 26700001 3R 0.6529 102 26650001
26700001 26800001 3R 0.7617 102 26750001
26800001 26900001 3R 0.9793 102 26850001
26900001 27000001 3R 1.6322 102 26950001
27000001 27100001 3R 0.5441 102 27050001
27100001 27200001 3R 0.1088 102 27150001
27200001 27300001 3R 0 105.1 27250001
27300001 27400001 3R 0.2176 106 27350001
27400001 27500001 3R 0 102.75 27450001
27500001 27600001 3R 0 103 27550001
27600001 27700001 3R 0 103.25 27650001
27700001 27800001 3R 0 103.5 27750001
1 100001 X 0 0 50001
100001 200001 X 0 0 150001
200001 300001 X 0 0 250001
300001 400001 X 0 0 350001
400001 500001 X 0 0 450001
500001 600001 X 0 0.26 550001
600001 700001 X 0 23.65 650001
700001 800001 X 0 24.375 750001
800001 900001 X 0 0.1 850001
900001 1000001 X 0 24.2 950001
1000001 1100001 X 0.3617 0.557142857 1050001
1100001 1200001 X 0.3617 27.6 1150001
1200001 1300001 X 0.3617 0.4 1250001
1300001 1400001 X 0 0.3 1350001
1400001 1500001 X 0.3617 0.4 1450001
1500001 1600001 X 0.0904 39.4 1550001
1600001 1700001 X 0 0.4 1650001
1700001 1800001 X 0.1808 0.5 1750001
1800001 1900001 X 0 0.575 1850001
1900001 2000001 X 0.1808 0.685714286 1950001
2000001 2100001 X 0 1 2050001
2100001 2200001 X 0.2713 0.966666667 2150001
2200001 2300001 X 0.9042 3.494444444 2250001
2300001 2400001 X 2.6221 1.2 2350001
2400001 2500001 X 3.9784 1.4 2450001
2500001 2600001 X 2.0796 1.5 2550001
2600001 2700001 X 2.6221 27.25 2650001
2700001 2800001 X 2.17 2.2 2750001
2800001 2900001 X 1.8988 3 2850001
2900001 3000001 X 3.1646 2.625 2950001
3000001 3100001 X 3.4359 3 3050001
3100001 3200001 X 2.3509 4 3150001
3200001 3300001 X 3.4359 8.166666667 3250001
3300001 3400001 X 7.5047 28 3350001
3400001 3500001 X 1.085 8 3450001
3500001 3600001 X 3.1646 8.666666667 3550001
3600001 3700001 X 2.7125 8.4 3650001
3700001 3800001 X 0.9946 37.6 3750001
3800001 3900001 X 6.3292 32.35 3850001
3900001 4000001 X 5.6059 5.95 3950001
4000001 4100001 X 1.5371 30 4050001
4100001 4200001 X 4.973 6.5 4150001
4200001 4300001 X 1.2658 14 4250001
4300001 4400001 X 2.9838 9.714285714 4350001
4400001 4500001 X 3.255 7 4450001
4500001 4600001 X 3.7975 31.5 4550001
4600001 4700001 X 9.4034 59 4650001
4700001 4800001 X 6.058 10 4750001
4800001 4900001 X 5.2442 31.66666667 4850001
4900001 5000001 X 6.6005 39 4950001
5000001 5100001 X 14.4668 32.5 5050001
5100001 5200001 X 6.3292 11.7 5150001
5200001 5300001 X 9.8555 48.4 5250001
5300001 5400001 X 4.7921 33 5350001
5400001 5500001 X 1.9892 14 5450001
5500001 5600001 X 3.255 42.85555556 5550001
5600001 5700001 X 5.4251 13.8 5650001
5700001 5800001 X 4.7017 14 5750001
5800001 5900001 X 2.2604 15 5850001
5900001 6000001 X 1.3563 34.75 5950001
6000001 6100001 X 1.9892 13 6050001
6100001 6200001 X 3.6167 16.45 6150001
6200001 6300001 X 2.17 20.33333333 6250001
6300001 6400001 X 12.7489 17 6350001
6400001 6500001 X 4.1592 32.725 6450001
6500001 6600001 X 3.5263 49.84 6550001
6600001 6700001 X 3.1646 35.1 6650001
6700001 6800001 X 7.4142 18.8 6750001
6800001 6900001 X 4.7017 19.1 6850001
6900001 7000001 X 2.8934 22.92 6950001
7000001 7100001 X 2.2604 23.26666667 7050001
7100001 7200001 X 1.1754 36.475 7150001
7200001 7300001 X 2.0796 22.33333333 7250001
7300001 7400001 X 1.085 36.5 7350001
7400001 7500001 X 0.9946 20 7450001
7500001 7600001 X 1.085 33.75 7550001
7600001 7700001 X 3.255 20.56666667 7650001
7700001 7800001 X 1.8084 21 7750001
7800001 7900001 X 1.9892 21.3 7850001
7900001 8000001 X 2.3509 60.14285714 7950001
8000001 8100001 X 0.8138 39.275 8050001
8100001 8200001 X 3.4359 39.5 8150001
8200001 8300001 X 4.6113 22.93333333 8250001
8300001 8400001 X 3.255 23.6 8350001
8400001 8500001 X 2.8934 23.1 8450001
8500001 8600001 X 6.4197 47.625 8550001
8600001 8700001 X 9.0418 27 8650001
8700001 8800001 X 8.1376 52.08 8750001
8800001 8900001 X 8.7705 28 8850001
8900001 9000001 X 6.9622 58.43333333 8950001
9000001 9100001 X 4.0688 27.7 9050001
9100001 9200001 X 2.9838 57.91428571 9150001
9200001 9300001 X 2.8029 32.58333333 9250001
9300001 9400001 X 8.9513 44.5 9350001
9400001 9500001 X 7.3238 31 9450001
9500001 9600001 X 3.1646 44 9550001
9600001 9700001 X 4.2496 47.5 9650001
9700001 9800001 X 3.7975 30 9750001
9800001 9900001 X 2.4413 30 9850001
9900001 10000001 X 4.1592 45.725 9950001
10000001 10100001 X 1.5371 30.3 10050001
10100001 10200001 X 2.8029 37.01333333 10150001
10200001 10300001 X 5.6963 31 10250001
10300001 10400001 X 2.0796 46.5 10350001
10400001 10500001 X 2.2604 49.8 10450001
10500001 10600001 X 0.9946 32.6 10550001
10600001 10700001 X 1.085 61.66666667 10650001
10700001 10800001 X 0.8138 33 10750001
10800001 10900001 X 3.9784 33.4 10850001
10900001 11000001 X 3.7071 33.5 10950001
11000001 11100001 X 2.8029 50.05 11050001
11100001 11200001 X 7.5047 34.52 11150001
11200001 11300001 X 5.4251 34 11250001
11300001 11400001 X 1.8988 35.85 11350001
11400001 11500001 X 2.3509 36 11450001
11500001 11600001 X 1.7179 36.06666667 11550001
11600001 11700001 X 0.4521 43.51111111 11650001
11700001 11800001 X 0.7233 36.83333333 11750001
11800001 11900001 X 2.9838 51.55 11850001
11900001 12000001 X 5.6059 77.87 11950001
12000001 12100001 X 5.1538 38 12050001
12100001 12200001 X 2.0796 58.6 12150001
12200001 12300001 X 2.6221 53.5 12250001
12300001 12400001 X 1.8084 58.96 12350001
12400001 12500001 X 1.8988 52.65 12450001
12500001 12600001 X 5.5155 53.3375 12550001
12600001 12700001 X 7.3238 67.86666667 12650001
12700001 12800001 X 3.888 67.33333333 12750001
12800001 12900001 X 3.9784 83.4 12850001
12900001 13000001 X 2.8934 41.4 12950001
13000001 13100001 X 2.5317 40.1 13050001
13100001 13200001 X 3.1646 84.2 13150001
13200001 13300001 X 3.888 53.5 13250001
13300001 13400001 X 7.3238 43.5 13350001
13400001 13500001 X 2.9838 44.4 13450001
13500001 13600001 X 1.6275 43.35 13550001
13600001 13700001 X 2.7125 47.225 13650001
13700001 13800001 X 3.3455 45 13750001
13800001 13900001 X 5.0634 70.33333333 13850001
13900001 14000001 X 2.8029 48 13950001
14000001 14100001 X 4.4305 70.22222222 14050001
14100001 14200001 X 5.1538 57.9125 14150001
14200001 14300001 X 2.17 47 14250001
14300001 14400001 X 4.2496 59.325 14350001
14400001 14500001 X 1.8988 57.35 14450001
14500001 14600001 X 6.1484 46 14550001
14600001 14700001 X 12.2064 62.5 14650001
14700001 14800001 X 7.5951 50 14750001
14800001 14900001 X 2.0796 47.88888889 14850001
14900001 15000001 X 1.7179 73.46666667 14950001
15000001 15100001 X 3.3455 73.94444444 15050001
15100001 15200001 X 3.255 51 15150001
15200001 15300001 X 2.17 51 15250001
15300001 15400001 X 2.3509 51 15350001
15400001 15500001 X 0.7233 48 15450001
15500001 15600001 X 5.1538 50.83333333 15550001
15600001 15700001 X 5.0634 51.16666667 15650001
15700001 15800001 X 2.8934 51 15750001
15800001 15900001 X 1.9892 61.05 15850001
15900001 16000001 X 0.9042 53.1 15950001
16000001 16100001 X 13.6531 53.5 16050001
16100001 16200001 X 4.0688 53.625 16150001
16200001 16300001 X 2.7125 77.96666667 16250001
16300001 16400001 X 1.1754 54.75 16350001
16400001 16500001 X 8.1376 55 16450001
16500001 16600001 X 2.5317 49.36666667 16550001
16600001 16700001 X 5.0634 44 16650001
16700001 16800001 X 5.1538 52.71111111 16750001
16800001 16900001 X 3.4359 56.4 16850001
16900001 17000001 X 1.8988 56.35 16950001
17000001 17100001 X 0.9946 56.7 17050001
17100001 17200001 X 0.7233 62.17 17150001
17200001 17300001 X 2.6221 62.5 17250001
17300001 17400001 X 1.3563 63.75 17350001
17400001 17500001 X 0.7233 57 17450001
17500001 17600001 X 1.4467 57.9 17550001
17600001 17700001 X 2.8934 57.9 17650001
17700001 17800001 X 2.3509 45 17750001
17800001 17900001 X 2.7125 57.8 17850001
17900001 18000001 X 0.5425 73.5 17950001
18000001 18100001 X 1.2658 58.7 18050001
18100001 18200001 X 0.3617 59 18150001
18200001 18300001 X 1.4467 59 18250001
18300001 18400001 X 1.6275 59.45 18350001
18400001 18500001 X 1.1754 59 18450001
18500001 18600001 X 1.085 60 18550001
18600001 18700001 X 2.5317 87.4 18650001
18700001 18800001 X 1.8988 51.6 18750001
18800001 18900001 X 1.4467 67 18850001
18900001 19000001 X 1.3563 80.83 18950001
19000001 19100001 X 0.9946 71.2625 19050001
19100001 19200001 X 3.255 51.66666667 19150001
19200001 19300001 X 6.5101 67.275 19250001
19300001 19400001 X 2.0796 65.66666667 19350001
19400001 19500001 X 4.973 62.45 19450001
19500001 19600001 X 2.3509 51.33333333 19550001
19600001 19700001 X 3.6167 64 19650001
19700001 19800001 X 4.2496 90 19750001
19800001 19900001 X 2.7125 67.625 19850001
19900001 20000001 X 1.4467 79 19950001
20000001 20100001 X 2.7125 64 20050001
20100001 20200001 X 2.0796 73.85 20150001
20200001 20300001 X 2.7125 80.11111111 20250001
20300001 20400001 X 2.8029 64 20350001
20400001 20500001 X 3.4359 69.66666667 20450001
20500001 20600001 X 1.2658 46 20550001
20600001 20700001 X 0.2713 46.4 20650001
20700001 20800001 X 1.085 51.66666667 20750001
20800001 20900001 X 5.0634 69.5 20850001
20900001 21000001 X 0.3617 65 20950001
21000001 21100001 X 0.9042 65.3 21050001
21100001 21200001 X 0.7233 53.56666667 21150001
21200001 21300001 X 1.085 66 21250001
21300001 21400001 X 1.7179 87.375 21350001
21400001 21500001 X 0.1808 88.875 21450001
21500001 21600001 X 0 66 21550001
21600001 21700001 X 0.9946 90.15 21650001
21700001 21800001 X 0.0904 75.06666667 21750001
21800001 21900001 X 0.5425 47 21850001
21900001 22000001 X 0.1808 85.14285714 21950001
22000001 22100001 X 0.2713 59.71428571 22050001
22100001 22200001 X 0.3617 91 22150001
22200001 22300001 X 0.0904 91 22250001
22300001 22422827 X 0 91 22361414
